Date;Open;High;Low;Close;Volume
15.12.20 05:02;1.21507;1.21508;1.21506;1.21506;130000000
15.12.20 05:02;1.21507;1.21507;1.21506;1.21506;132000000
15.12.20 05:03;1.21506;1.21507;1.21501;1.21502;148000000
15.12.20 05:03;1.21502;1.21506;1.21499;1.21504;159049999
15.12.20 05:03;1.21504;1.21506;1.21504;1.21504;128000000
15.12.20 05:03;1.21504;1.21507;1.21504;1.21507;120000000
15.12.20 05:03;1.21506;1.21513;1.21506;1.21512;135000000
15.12.20 05:03;1.21513;1.21515;1.2151;1.21515;127000000
15.12.20 05:04;1.21515;1.21516;1.21513;1.21514;131000000
15.12.20 05:04;1.21512;1.21514;1.21512;1.21513;136000000
15.12.20 05:04;1.21513;1.21514;1.21512;1.21512;128000000
15.12.20 05:04;1.21513;1.21514;1.21511;1.21513;133000000
15.12.20 05:04;1.21514;1.21516;1.21513;1.21515;133000000
15.12.20 05:04;1.21516;1.21517;1.21514;1.21516;112000000
15.12.20 05:05;1.21516;1.21523;1.21516;1.21523;139000000
15.12.20 05:05;1.21522;1.21525;1.2152;1.21523;159000000
15.12.20 05:05;1.21522;1.2153;1.21522;1.21529;141000000
15.12.20 05:05;1.21528;1.2153;1.21527;1.2153;161000000
15.12.20 05:05;1.2153;1.2153;1.21527;1.21528;148000000
15.12.20 05:05;1.21528;1.2153;1.21526;1.21528;115000000
15.12.20 05:06;1.21527;1.21529;1.21522;1.21522;119000000
15.12.20 05:06;1.21523;1.21524;1.21521;1.21522;122000000
15.12.20 05:06;1.21522;1.21524;1.21518;1.21522;115000000
15.12.20 05:06;1.21521;1.21523;1.2152;1.21523;137000000
15.12.20 05:06;1.21522;1.21526;1.2152;1.21524;121000000
15.12.20 05:06;1.21524;1.21525;1.21522;1.21524;153049999
15.12.20 05:07;1.21523;1.21524;1.21522;1.21523;139000000
15.12.20 05:07;1.21522;1.21524;1.21522;1.21522;135049999
15.12.20 05:07;1.21524;1.21525;1.21522;1.21522;132000000
15.12.20 05:07;1.21522;1.21525;1.21522;1.21523;172049999
15.12.20 05:07;1.21523;1.21523;1.21519;1.21522;135000000
15.12.20 05:07;1.21522;1.21524;1.2152;1.21522;144000000
15.12.20 05:08;1.21522;1.21522;1.21519;1.21522;125000000
15.12.20 05:08;1.21521;1.21522;1.21519;1.2152;117000000
15.12.20 05:08;1.21519;1.21521;1.21519;1.21519;112000000
15.12.20 05:08;1.21522;1.21522;1.21519;1.21521;129000000
15.12.20 05:08;1.21521;1.21522;1.21519;1.21519;113000000
15.12.20 05:08;1.21521;1.21522;1.21519;1.21521;96000000
15.12.20 05:09;1.21521;1.21522;1.21517;1.21517;132000000
15.12.20 05:09;1.21516;1.21518;1.21516;1.21517;148000000
15.12.20 05:09;1.21517;1.21519;1.21516;1.21517;107000000
15.12.20 05:09;1.21517;1.21518;1.21516;1.21517;143000000
15.12.20 05:09;1.21517;1.21518;1.21516;1.21518;112000000
15.12.20 05:09;1.21517;1.21517;1.21511;1.21511;154000000
15.12.20 05:10;1.21512;1.21513;1.21507;1.21508;152000000
15.12.20 05:10;1.21508;1.21509;1.21505;1.21508;145000000
15.12.20 05:10;1.21507;1.21508;1.21501;1.21501;149000000
15.12.20 05:10;1.21502;1.21504;1.21501;1.21501;156000000
15.12.20 05:10;1.215;1.21502;1.215;1.21502;162000000
15.12.20 05:10;1.215;1.21503;1.215;1.21501;146000000
15.12.20 05:11;1.215;1.21503;1.215;1.21502;120000000
15.12.20 05:11;1.21501;1.21503;1.215;1.21502;158000000
15.12.20 05:11;1.21501;1.21503;1.21499;1.21499;148000000
15.12.20 05:11;1.215;1.21506;1.215;1.21506;126049999
15.12.20 05:11;1.21508;1.21508;1.21504;1.21506;109000000
15.12.20 05:11;1.21507;1.21508;1.21506;1.21507;182000000
15.12.20 05:12;1.21506;1.21509;1.21506;1.21507;148000000
15.12.20 05:12;1.21508;1.21509;1.21506;1.21507;149000000
15.12.20 05:12;1.21507;1.21509;1.21506;1.21508;131000000
15.12.20 05:12;1.21507;1.21509;1.21506;1.21506;155000000
15.12.20 05:12;1.21508;1.21509;1.21506;1.21509;157000000
15.12.20 05:12;1.21506;1.21509;1.21505;1.21507;126000000
15.12.20 05:13;1.21508;1.21509;1.21506;1.21508;146000000
15.12.20 05:13;1.21508;1.21508;1.21505;1.21506;114000000
15.12.20 05:13;1.21506;1.21507;1.21506;1.21507;142000000
15.12.20 05:13;1.21507;1.21507;1.21505;1.21507;116000000
15.12.20 05:13;1.21506;1.21508;1.21503;1.21505;152000000
15.12.20 05:13;1.21504;1.21505;1.21503;1.21504;110000000
15.12.20 05:14;1.21504;1.21505;1.21503;1.21505;113000000
15.12.20 05:14;1.21504;1.21506;1.21503;1.21506;119000000
15.12.20 05:14;1.21507;1.21509;1.21507;1.21509;145000000
15.12.20 05:14;1.21508;1.21512;1.21508;1.21512;125000000
15.12.20 05:14;1.21513;1.21516;1.21513;1.21515;159000000
15.12.20 05:14;1.21513;1.21514;1.21512;1.21514;128000000
15.12.20 05:15;1.21513;1.21514;1.21513;1.21513;119000000
15.12.20 05:15;1.21512;1.21514;1.2151;1.2151;133000000
15.12.20 05:15;1.21509;1.2151;1.21508;1.21509;171000000
15.12.20 05:15;1.21508;1.2151;1.21507;1.21509;145000000
